NORAD_CAT_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2,CREATION_DATE,OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,LAUNCH_YEAR,LAUNCH_SEQ,EPOCH_FINAL,ORBIT_CLASS,EVENT,DURATION,RCS_SIZE
4,0 EXPLORER 1,1 00004U 58001  A 70090.03500497  .07718844 +00000-0 +00000-0 0  9991,2 00004 033.1468 334.6171 0024739 311.5310 048.3249 16.27546304584022,15/08/2004 23:37,EXPLORER 1,1958-001A,31/03/1970,16.27546304,0.0024739,33.1468,334.6171,311.531,48.3249,58402,0.0,0.07718844,0.0,6577.283,88.476,215.419,182.876,PAYLOAD,US,03/01/1958,AFETR,31/03/1970,1958,1,31/03/1970 01:40,LEO,1,4470,MEDIUM
5,0 VANGUARD 1,1 00005U 58002B   25193.51482699 -.00000067  00000-0 -60023-4 0  9994,2 00005  34.2458 282.7160 1841419  46.9912 327.0992 10.85925512406356,12/07/2025 17:51,VANGUARD 1,1958-002B,12/07/2025 12:21,10.85925512,0.1841419,34.2458,282.716,46.9912,327.0992,40635,-6e-05,-6.7e-07,0.0,8613.939,132.606,3821.992,649.617,PAYLOAD,US,17/03/1958,AFETR,,1958,2,13/07/2025 00:42,MEO,0,24590,LARGE
8,0 SPUTNIK 3,1 00008U 58004  B 60095.16166626  .02607090 +00000-0 +00000-0 0  9993,2 00008 065.0599 163.5585 0088318 135.6760 224.6847 16.28328133100004,15/08/2004 23:35,SPUTNIK 3,1958-004B,04/04/1960 03:52,16.28328133,0.0088318,65.0599,163.5585,135.676,224.6847,10000,0.0,0.0260709,0.0,6575.177,88.434,255.113,138.972,PAYLOAD,CIS,05/01/1958,TTMTR,06/04/1960,1958,4,04/04/1960 07:45,LEO,1,822,MEDIUM
9,0 EXPLORER 4,1 00009U 58005  A 59275.28696823  .00892850 +00000-0 +00000-0 0  9991,2 00009 050.2549 082.4216 0254534 057.7226 303.5234 15.51612549060703,15/08/2004 23:35,EXPLORER 4,1958-005A,02/10/1959 06:53,15.51612549,0.0254534,50.2549,82.4216,57.7226,303.5234,6070,0.0,0.0089285,0.0,6790.158,92.806,584.856,239.191,PAYLOAD,US,07/01/1958,AFETR,23/10/1959,1958,5,02/10/1959 13:46,LEO,1,654,MEDIUM
11,0 VANGUARD 2,1 00011U 59001A   25193.55398380  .00000623  00000-0  30886-3 0  9997,2 00011  32.8781 290.0336 1449270 284.8718  59.6190 11.89922137494999,12/07/2025 17:51,VANGUARD 2,1959-001A,12/07/2025 13:17,11.89922137,0.144927,32.8781,290.0336,284.8718,59.619,49499,0.00030886,6.23e-06,0.0,8104.436,121.016,2900.853,551.75,PAYLOAD,US,17/02/1959,AFETR,,1959,1,13/07/2025 02:35,LEO,0,24253,MEDIUM
12,0 VANGUARD R/B,1 00012U 59001B   25193.53843712  .00000729  00000-0  43608-3 0  9993,2 00012  32.9001 341.7658 1647615 107.1100 271.5953 11.47786356492278,12/07/2025 17:51,VANGUARD R/B,1959-001B,12/07/2025 12:55,11.47786356,0.1647615,32.9001,341.7658,107.11,271.5953,49227,0.00043608,7.29e-06,0.0,8301.587,125.459,3291.234,555.67,ROCKET BODY,US,17/02/1959,AFETR,,1959,1,13/07/2025 01:50,LEO,0,24253,LARGE
15,0 EXPLORER 6,1 00015U 59004  A 59272.62543869  .00008106 +00000-0 +00000-0 0  9997,2 00015 046.9509 049.6823 7601812 047.2577 341.8928 01.88913924001001,15/08/2004 23:35,EXPLORER 6,1959-004A,29/09/1959 15:00,1.88913924,0.7601812,46.9509,49.6823,47.2577,341.8928,100,0.0,8.11e-05,0.0,27641.364,762.251,42275.674,250.783,PAYLOAD,US,03/01/1959,AFETR,30/06/1961,1959,4,30/09/1959 06:01,HEO,1,909,UNKNOWN
16,0 VANGUARD R/B,1 00016U 58002A   25193.41683771 -.00000051  00000-0 -54414-4 0  9999,2 00016  34.2581 207.6719 2022960 125.7392 254.8608 10.49573484653219,12/07/2025 17:51,VANGUARD R/B,1958-002A,12/07/2025 10:00,10.49573484,0.202296,34.2581,207.6719,125.7392,254.8608,65321,-5.44e-05,-5.1e-07,0.0,8811.705,137.199,4216.142,650.997,ROCKET BODY,US,17/03/1958,AFETR,,1958,2,12/07/2025 20:00,MEO,0,24590,LARGE
17,0 THOR ABLE R/B,1 00017U 59004  B 61008.85131000  .00070225 +00000-0 +00000-0 0  9995,2 00017 047.1000 284.3200 7526400 171.0000 203.9657 02.00290678010078,15/08/2004 23:35,THOR ABLE R/B,1959-004B,08/01/1961 20:25,2.00290678,0.75264,47.1,284.32,171.0,203.9657,1007,0.0,0.00070225,0.0,26584.487,718.955,40214.901,197.803,ROCKET BODY,US,05/01/1959,AFWTR,30/06/1961,1959,4,09/01/1961 16:51,MEO,1,907,LARGE
18,0 DISCOVERER 5,1 00018U 59005  A 59269.32477950  .04655228 +00000-0 +00000-0 0  9998,2 00018 079.9899 251.4819 0140209 012.7649 347.4143 16.16111033006800,15/08/2004 23:35,DISCOVERER 5,1959-005A,26/09/1959 07:47,16.16111033,0.0140209,79.9899,251.4819,12.7649,347.4143,680,0.0,0.04655228,0.0,6608.273,89.102,322.792,137.484,PAYLOAD,DEN,07/01/1959,AFWTR,28/09/1959,1959,5,26/09/1959 15:35,LEO,1,264,MEDIUM
19,0 DISCOVERER 6,1 00019U 59006  A 59278.50940704  .01114833 +00000-0 +00000-0 0  9991,2 00019 083.9999 286.5094 0222212 326.3932 034.3056 15.83731828007208,15/08/2004 23:35,DISCOVERER 6,1959-006A,05/10/1959 12:13,15.83731828,0.0222212,83.9999,286.5094,326.3932,34.3056,720,0.0,0.01114833,0.0,6698.039,90.924,468.742,171.065,PAYLOAD,DEN,11/01/1959,AFWTR,20/10/1959,1959,6,06/10/1959 00:27,LEO,1,282,MEDIUM
20,0 VANGUARD 3,1 00020U 59007A   25193.63003394  .00000869  00000-0  35950-3 0  9999,2 00020  33.3432  48.6223 1641311  34.3816 335.2794 11.60743173445121,12/07/2025 17:51,VANGUARD 3,1959-007A,12/07/2025 15:07,11.60743173,0.1641311,33.3432,48.6223,34.3816,335.2794,44512,0.0003595,8.69e-06,0.0,8239.694,124.058,3213.949,509.169,PAYLOAD,US,18/09/1959,AFETR,,1959,7,13/07/2025 06:14,LEO,0,24040,MEDIUM
