order_id,order_date,product,product_category,perishable,product_risk_weight,shelf_life_days,supplier,supplier_id,supplier_region,supplier_type,supplier_scale,supplier_reliability,supplier_risk_score,quantity_kg,price_per_kg,total_value_zar,promised_days,actual_days,delay_days,expected_delivery_date,actual_delivery_date,on_time,year,month,quarter,weekday,price_zscore,is_spike
ORD-116166,2022-01-01,Fresh Cilantro,Herbs,True,0.95,5,KwaZulu-Natal Medium Vegetables,16,KwaZulu-Natal,Local,Medium,0.876,68.6,139,44.67,6209.13,2,4,2,2022-01-03,2022-01-05,0,2022,1,1,5,-0.5636771310607689,False
ORD-172212,2022-01-01,Brown Rice,Grains,False,0.2,365,North West Small Maize,37,North West,Local,Small,0.768,72.8,292,18.69,5457.48,3,9,6,2022-01-04,2022-01-10,0,2022,1,1,5,0.11136560162007368,False
ORD-141480,2022-01-01,Eggplant,Vegetables,True,0.82,10,Western Cape Medium Vegetables,4,Western Cape,Local,Medium,0.977,76.3,354,24.14,8545.56,5,6,1,2022-01-06,2022-01-07,0,2022,1,1,5,0.6591175770861888,False
ORD-193575,2022-01-01,Mangoes,Fruits,True,0.85,10,Gauteng Small Distribution,7,Gauteng,Local,Small,0.857,63.7,551,21.02,11582.02,4,6,2,2022-01-05,2022-01-07,0,2022,1,1,5,-0.9393965644578323,False
ORD-100775,2022-01-01,Asparagus,Premium Vegetables,True,0.92,7,Western Cape Small Premium,1,Western Cape,Local,Small,0.953,71.9,125,56.94,7117.5,4,5,1,2022-01-05,2022-01-06,0,2022,1,1,5,0.42108503494052224,False
ORD-157679,2022-01-01,Organic Quinoa,Grains,False,0.25,365,Spain Medium Imports,55,Spain,International,Medium,0.876,82.6,223,76.06,16961.38,12,20,8,2022-01-13,2022-01-21,0,2022,1,1,5,0.6549156785955237,False
ORD-138224,2022-01-01,Cucumbers,Vegetables,True,0.83,8,North West Small Sunflowers,38,North West,Local,Small,0.752,58.6,419,17.11,7169.09,5,14,9,2022-01-06,2022-01-15,0,2022,1,1,5,-0.08846173127166003,False
ORD-146848,2022-01-01,Fresh Parsley,Herbs,True,0.93,7,Northern Cape Medium Grapes,51,Northern Cape,Local,Medium,0.647,46.1,230,50.96,11720.8,3,6,3,2022-01-04,2022-01-07,0,2022,1,1,5,0.301005949464957,False
ORD-170559,2022-01-01,Asparagus,Premium Vegetables,True,0.92,7,Limpopo Small Avocados,44,Limpopo,Local,Small,0.735,55.1,300,47.94,14382.0,3,11,8,2022-01-04,2022-01-12,0,2022,1,1,5,-0.27481715620251,False
ORD-151830,2022-01-01,Lentils,Grains,False,0.22,365,Northern Cape Medium Dates,52,Northern Cape,Local,Medium,0.692,64.8,357,21.52,7682.64,3,6,3,2022-01-04,2022-01-07,0,2022,1,1,5,-0.13129814887458632,False
