order_id,order_date,product,product_category,perishable,supplier,supplier_region,quantity_kg,price_per_kg,total_value_zar,promised_days,actual_days,delay_days,expected_delivery_date,actual_delivery_date,on_time
ORD-10000,2022-02-10,Papayas,Fruit,True,Supplier_L,Gauteng,386,29.07,11221.02,5,6,1,2022-02-15,2022-02-16,0
ORD-10001,2022-06-06,Apples,Fruit,False,Supplier_C,Gauteng,339,21.01,7122.39,3,4,1,2022-06-09,2022-06-10,0
ORD-10002,2022-01-15,Broccoli,Veg,True,Supplier_G,KwaZulu-Natal,307,15.73,4829.11,4,7,3,2022-01-19,2022-01-22,0
ORD-10003,2024-03-23,Onions,Root,False,Supplier_O,Gauteng,848,7.7,6529.6,5,9,4,2024-03-28,2024-04-01,0
ORD-10004,2022-03-06,Papayas,Fruit,True,Supplier_D,Western Cape,61,34.91,2129.51,3,6,3,2022-03-09,2022-03-12,0
ORD-10005,2024-05-06,Carrots,Root,False,Supplier_N,Gauteng,87,10.74,934.38,3,11,8,2024-05-09,2024-05-17,0
ORD-10006,2024-04-18,Lettuce,Veg,True,Supplier_D,Western Cape,381,9.09,3463.29,2,5,3,2024-04-20,2024-04-23,0
ORD-10007,2023-06-05,Lettuce,Veg,True,Supplier_M,Eastern Cape,372,15.39,5725.08,5,16,11,2023-06-10,2023-06-21,0
ORD-10008,2022-12-10,Carrots,Root,False,Supplier_G,KwaZulu-Natal,324,8.29,2685.96,3,1,-2,2022-12-13,2022-12-11,1
ORD-10009,2022-05-09,Onions,Root,False,Supplier_B,Eastern Cape,403,7.8,3143.4,3,11,8,2022-05-12,2022-05-20,0
ORD-10010,2023-10-10,Oranges,Fruit,False,Supplier_O,Gauteng,97,22.36,2168.92,6,7,1,2023-10-16,2023-10-17,0
ORD-10011,2023-04-17,Herbs,Herb,True,Supplier_O,Gauteng,188,30.76,5782.88,3,17,14,2023-04-20,2023-05-04,0
ORD-10012,2022-03-04,Carrots,Root,False,Supplier_D,Western Cape,584,8.78,5127.52,4,7,3,2022-03-08,2022-03-11,0
ORD-10013,2022-05-19,Cauliflower,Veg,True,Supplier_G,KwaZulu-Natal,320,18.2,5824.0,4,5,1,2022-05-23,2022-05-24,0
ORD-10014,2023-05-14,Broccoli,Veg,True,Supplier_C,Gauteng,129,12.61,1626.69,2,11,9,2023-05-16,2023-05-25,0
ORD-10015,2023-08-16,Onions,Root,False,Supplier_C,Gauteng,248,6.05,1500.4,2,4,2,2023-08-18,2023-08-20,0
ORD-10016,2023-01-27,Apples,Fruit,False,Supplier_L,Gauteng,190,40.32,7660.8,6,8,2,2023-02-02,2023-02-04,0
ORD-10017,2023-11-06,Papayas,Fruit,True,Supplier_I,KwaZulu-Natal,436,17.71,7721.56,6,9,3,2023-11-12,2023-11-15,0
ORD-10018,2023-02-23,Onions,Root,False,Supplier_L,Gauteng,292,9.07,2648.44,3,5,2,2023-02-26,2023-02-28,0
ORD-10019,2022-10-16,Herbs,Herb,True,Supplier_G,KwaZulu-Natal,289,44.16,12762.24,6,9,3,2022-10-22,2022-10-25,0
ORD-10020,2023-01-14,Herbs,Herb,True,Supplier_G,KwaZulu-Natal,54,31.21,1685.34,4,7,3,2023-01-18,2023-01-21,0
ORD-10021,2024-02-12,Beetroot,Root,False,Supplier_D,Western Cape,219,11.74,2571.06,5,9,4,2024-02-17,2024-02-21,0
ORD-10022,2023-05-05,Mangoes,Fruit,False,Supplier_I,KwaZulu-Natal,167,24.05,4016.35,3,1,-2,2023-05-08,2023-05-06,1
